Entity,Code,Year,"Crude marriage rate (per 1,000 inhabitants)"
Ireland,IRL,1992,4.7
Ireland,IRL,1993,4.7
Ireland,IRL,1994,4.6
Ireland,IRL,1995,4.3
Ireland,IRL,1996,4.4
Ireland,IRL,1997,4.3
Ireland,IRL,1998,4.5
Ireland,IRL,1999,4.9
Ireland,IRL,2000,5
Ireland,IRL,2001,5
Ireland,IRL,2002,5.2
Ireland,IRL,2003,5.1
Ireland,IRL,2004,5.2
Ireland,IRL,2005,5.1
Ireland,IRL,2006,5.2
Ireland,IRL,2007,5.2
Ireland,IRL,2008,4.9
Ireland,IRL,2009,4.8
Ireland,IRL,2010,4.5
Ireland,IRL,2011,4.3
Ireland,IRL,2012,4.5
Ireland,IRL,2013,4.5
Ireland,IRL,2014,4.7
Ireland,IRL,2015,4.7
Ireland,IRL,2016,4.8
Ireland,IRL,2017,4.6
Italy,ITA,1960,7.7
Italy,ITA,1961,7.9
Italy,ITA,1962,8
Italy,ITA,1963,8.2
Italy,ITA,1964,8.1
Italy,ITA,1965,7.7
Italy,ITA,1966,7.3
Italy,ITA,1967,7.2
Italy,ITA,1968,7
Italy,ITA,1969,7.2
Italy,ITA,1970,7.3
Italy,ITA,1971,7.5
Italy,ITA,1972,7.7
Italy,ITA,1973,7.6
Italy,ITA,1974,7.3
Italy,ITA,1975,6.7
Italy,ITA,1976,6.4
Italy,ITA,1977,6.2
Italy,ITA,1978,5.9
Italy,ITA,1979,5.8
Italy,ITA,1980,5.7
Italy,ITA,1981,5.6
Italy,ITA,1982,5.5
Italy,ITA,1983,5.4
Italy,ITA,1984,5.3
Italy,ITA,1985,5.3
Italy,ITA,1986,5.3
Italy,ITA,1987,5.4
Italy,ITA,1988,5.6
Italy,ITA,1989,5.7
Italy,ITA,1990,5.6
Italy,ITA,1991,5.5
Italy,ITA,1992,5.5
Italy,ITA,1993,5.3
Italy,ITA,1994,5.1
Italy,ITA,1995,5.1
Italy,ITA,1996,4.9
Italy,ITA,1997,4.9
Italy,ITA,1998,4.9
Italy,ITA,1999,4.9
Italy,ITA,2000,5
Italy,ITA,2001,4.6
Italy,ITA,2002,4.7
Italy,ITA,2003,4.6
Italy,ITA,2004,4.3
Italy,ITA,2005,4.3
Italy,ITA,2006,4.2
Italy,ITA,2007,4.3
Italy,ITA,2008,4.2
Italy,ITA,2009,3.9
Italy,ITA,2010,3.7
Italy,ITA,2011,3.4
Italy,ITA,2012,3.5
Italy,ITA,2013,3.2
Italy,ITA,2014,3.1
Italy,ITA,2015,3.2
Italy,ITA,2016,3.4
Italy,ITA,2017,3.2
Mexico,MEX,1970,7
Mexico,MEX,1980,7.1
Mexico,MEX,1985,7.4
Mexico,MEX,1990,7.4
Mexico,MEX,1991,7.4
Mexico,MEX,1992,7.4
Mexico,MEX,1993,7.2
Mexico,MEX,1994,7.2
Mexico,MEX,1995,7
Mexico,MEX,1996,7
Mexico,MEX,1997,7.3
Mexico,MEX,1998,7.2
Mexico,MEX,1999,7.5
Mexico,MEX,2000,7
Mexico,MEX,2001,6.5
Mexico,MEX,2002,6
Mexico,MEX,2003,5.6
Mexico,MEX,2004,5.7
Mexico,MEX,2005,5.6
Mexico,MEX,2006,5.4
Mexico,MEX,2007,5.4
Mexico,MEX,2008,5.3
Mexico,MEX,2009,5
Mexico,MEX,2010,5
Mexico,MEX,2011,4.9
Mexico,MEX,2012,5
Mexico,MEX,2013,4.9
Mexico,MEX,2014,4.8
Mexico,MEX,2015,4.6
Mexico,MEX,2016,4.4
Mexico,MEX,2017,4.3
Norway,NOR,1960,6.6
Norway,NOR,1961,6.7
Norway,NOR,1962,6.6
Norway,NOR,1963,6.6
Norway,NOR,1964,6.8
Norway,NOR,1965,6.5
Norway,NOR,1966,7.4
Norway,NOR,1967,7.7
Norway,NOR,1968,7.7
Norway,NOR,1969,7.7
Norway,NOR,1970,7.6
Norway,NOR,1971,7.6
Norway,NOR,1972,7.3
Norway,NOR,1973,7.1
Norway,NOR,1974,6.9
Norway,NOR,1975,6.5
Norway,NOR,1976,6.3
Norway,NOR,1977,5.9
Norway,NOR,1978,5.8
Norway,NOR,1979,5.7
Norway,NOR,1980,5.4
Norway,NOR,1981,5.4
Norway,NOR,1982,5.3
Norway,NOR,1983,5
Norway,NOR,1984,5
Norway,NOR,1985,4.9
Norway,NOR,1986,4.9
Norway,NOR,1987,5
Norway,NOR,1988,5.2
Norway,NOR,1989,4.9
Norway,NOR,1990,5.2
Norway,NOR,1991,4.7
Norway,NOR,1992,4.5
Norway,NOR,1993,4.5
Norway,NOR,1994,4.8
Norway,NOR,1995,5
Norway,NOR,1996,5.3
Norway,NOR,1997,5.4
Norway,NOR,1998,5.3
Norway,NOR,1999,5.3
Norway,NOR,2000,5
Norway,NOR,2001,4.4
Norway,NOR,2002,4.5
Norway,NOR,2003,4.9
Norway,NOR,2004,4.1
Norway,NOR,2005,4.8
Norway,NOR,2006,4.7
Norway,NOR,2007,5
Norway,NOR,2008,5.3
Norway,NOR,2009,5
Norway,NOR,2010,4.8
Norway,NOR,2011,4.6
Norway,NOR,2012,4.8
Norway,NOR,2013,4.7
Norway,NOR,2014,4.6
Norway,NOR,2015,4.5
Norway,NOR,2016,4.5
Norway,NOR,2017,4.4
Peru,PER,1970,3.900000095
Peru,PER,1982,6
Peru,PER,1993,4.099999905
Peru,PER,1997,2.799999952
Peru,PER,1998,2.400000095
Singapore,SGP,1970,7.400000095
Singapore,SGP,1985,8.600000381
Singapore,SGP,1994,7.199999809
Singapore,SGP,2005,5.400000095
Singapore,SGP,2006,5.400000095
South Korea,KOR,1970,9.2
South Korea,KOR,1971,7.3
South Korea,KOR,1972,7.3
South Korea,KOR,1973,7.6
South Korea,KOR,1974,7.5
South Korea,KOR,1975,8
South Korea,KOR,1976,8
South Korea,KOR,1977,8.3
South Korea,KOR,1978,9.3
South Korea,KOR,1979,9.4
South Korea,KOR,1980,10.6
South Korea,KOR,1981,10.5
South Korea,KOR,1982,9.9
South Korea,KOR,1983,10.3
South Korea,KOR,1984,9.5
South Korea,KOR,1985,9.4
South Korea,KOR,1986,9.5
South Korea,KOR,1987,9.4
South Korea,KOR,1988,9.8
South Korea,KOR,1989,9.7
South Korea,KOR,1990,9.3
South Korea,KOR,1991,9.6
South Korea,KOR,1992,9.6
South Korea,KOR,1993,9
South Korea,KOR,1994,8.7
South Korea,KOR,1995,8.7
South Korea,KOR,1996,9.4
South Korea,KOR,1997,8.4
South Korea,KOR,1998,8
South Korea,KOR,1999,7.6
South Korea,KOR,2000,7
South Korea,KOR,2001,6.7
South Korea,KOR,2002,6.3
South Korea,KOR,2003,6.3
South Korea,KOR,2004,6.4
South Korea,KOR,2005,6.5
South Korea,KOR,2006,6.8
South Korea,KOR,2007,7
South Korea,KOR,2008,6.6
South Korea,KOR,2009,6.2
South Korea,KOR,2010,6.5
South Korea,KOR,2011,6.6
South Korea,KOR,2012,6.5
South Korea,KOR,2013,6.4
South Korea,KOR,2014,6
South Korea,KOR,2015,5.9
South Korea,KOR,2016,5.5
South Korea,KOR,2017,5.2
Turkey,TUR,1970,3.299999952
Turkey,TUR,1980,8.2
Turkey,TUR,1985,7.199999809
Turkey,TUR,1996,7.599999905
Turkey,TUR,2003,7.1
Turkey,TUR,2004,9.2
Turkey,TUR,2005,9.5
Turkey,TUR,2006,9.2
Turkey,TUR,2007,9.1
Turkey,TUR,2008,9
Turkey,TUR,2009,8.2
Turkey,TUR,2010,8
Turkey,TUR,2011,8
Turkey,TUR,2012,8
Turkey,TUR,2013,7.9
Turkey,TUR,2014,7.8
Turkey,TUR,2015,7.7
Turkey,TUR,2016,7.5
Turkey,TUR,2017,7.1
United Kingdom,GBR,1960,7.5
United Kingdom,GBR,1961,7.5
United Kingdom,GBR,1962,7.5
United Kingdom,GBR,1963,7.5
United Kingdom,GBR,1964,7.6
United Kingdom,GBR,1965,7.8
United Kingdom,GBR,1966,8
United Kingdom,GBR,1967,8
United Kingdom,GBR,1968,8.4
United Kingdom,GBR,1969,8.1
United Kingdom,GBR,1970,8.5
United Kingdom,GBR,1971,8.2
United Kingdom,GBR,1972,8.6
United Kingdom,GBR,1973,8.1
United Kingdom,GBR,1974,7.8
United Kingdom,GBR,1975,7.7
United Kingdom,GBR,1976,7.2
United Kingdom,GBR,1977,7.2
United Kingdom,GBR,1978,7.4
United Kingdom,GBR,1979,7.4
United Kingdom,GBR,1980,7.4
United Kingdom,GBR,1981,7.1
United Kingdom,GBR,1982,6.9
United Kingdom,GBR,1983,6.9
United Kingdom,GBR,1984,7
United Kingdom,GBR,1985,7
United Kingdom,GBR,1986,7
United Kingdom,GBR,1987,7
United Kingdom,GBR,1988,6.9
United Kingdom,GBR,1989,6.9
United Kingdom,GBR,1990,6.6
United Kingdom,GBR,1991,6.1
United Kingdom,GBR,1992,6.2
United Kingdom,GBR,1993,5.9
United Kingdom,GBR,1994,5.7
United Kingdom,GBR,1995,5.6
United Kingdom,GBR,1996,5.5
United Kingdom,GBR,1997,5.3
United Kingdom,GBR,1998,5.2
United Kingdom,GBR,1999,5.1
United Kingdom,GBR,2000,5.2
United Kingdom,GBR,2001,4.8
United Kingdom,GBR,2002,4.9
United Kingdom,GBR,2003,5.2
United Kingdom,GBR,2005,4.699999809
United Kingdom,GBR,2006,4.5
United Kingdom,GBR,2007,4.5
United Kingdom,GBR,2008,4.4
United Kingdom,GBR,2009,4.3
United Kingdom,GBR,2010,4.5
United Kingdom,GBR,2011,4.5
United Kingdom,GBR,2013,4.3
United Kingdom,GBR,2014,4.5
United Kingdom,GBR,2015,4.4
United Kingdom,GBR,2016,4.4
United States,USA,1960,8.5
United States,USA,1961,8.5
United States,USA,1962,8.5
United States,USA,1963,8.8
United States,USA,1964,9
United States,USA,1965,9.3
United States,USA,1966,9.5
United States,USA,1967,9.7
United States,USA,1968,10.4
United States,USA,1969,10.6
United States,USA,1970,10.6
United States,USA,1971,10.6
United States,USA,1972,10.9
United States,USA,1973,10.8
United States,USA,1974,10.5
United States,USA,1975,10
United States,USA,1976,9.9
United States,USA,1977,9.9
United States,USA,1978,10.3
United States,USA,1979,10.4
United States,USA,1980,10.6
United States,USA,1981,10.6
United States,USA,1982,10.6
United States,USA,1983,10.5
United States,USA,1984,10.5
United States,USA,1985,10.1
United States,USA,1986,10
United States,USA,1987,9.9
United States,USA,1988,9.7
United States,USA,1989,9.7
United States,USA,1990,9.8
United States,USA,1991,9.4
United States,USA,1992,9.3
United States,USA,1993,9
United States,USA,1994,9.1
United States,USA,1995,8.9
United States,USA,1996,8.800000191
United States,USA,1997,8.899999619
United States,USA,1998,8.399999619
United States,USA,1999,8.600000381
United States,USA,2000,8.300000191
United States,USA,2001,8.199999809
United States,USA,2002,7.800000191
United States,USA,2003,7.699999809
United States,USA,2004,7.800000191
United States,USA,2005,7.599999905
United States,USA,2006,7.5
United States,USA,2007,7.300000191
United States,USA,2008,7.099999905
United States,USA,2009,6.800000191
United States,USA,2010,6.800000191
United States,USA,2011,6.800000191
United States,USA,2012,6.800000191
United States,USA,2013,6.800000191
United States,USA,2014,6.900000095
United States,USA,2015,6.900000095
United States,USA,2016,7
United States,USA,2017,6.900000095
United States,USA,2018,6.5
