Entity,Code,Year,"Crude divorce rate (per 1,000 inhabitants)"
Turkey,TUR,2015,1.7
Turkey,TUR,2016,1.6
Turkey,TUR,2017,1.6
United Kingdom,GBR,1965,0.69999999
United Kingdom,GBR,1966,0.69999999
United Kingdom,GBR,1967,0.80000001
United Kingdom,GBR,1968,0.80000001
United Kingdom,GBR,1969,0.89999998
United Kingdom,GBR,1970,1
United Kingdom,GBR,1971,1.3
United Kingdom,GBR,1972,2.0999999
United Kingdom,GBR,1973,1.9
United Kingdom,GBR,1974,2
United Kingdom,GBR,1975,2.0999999
United Kingdom,GBR,1976,2.3
United Kingdom,GBR,1977,2.3
United Kingdom,GBR,1978,2.5999999
United Kingdom,GBR,1979,2.5
United Kingdom,GBR,1980,2.5999999
United Kingdom,GBR,1981,2.5999999
United Kingdom,GBR,1982,2.5999999
United Kingdom,GBR,1983,2.5999999
United Kingdom,GBR,1984,2.5999999
United Kingdom,GBR,1985,2.8
United Kingdom,GBR,1986,2.7
United Kingdom,GBR,1987,2.7
United Kingdom,GBR,1988,2.7
United Kingdom,GBR,1989,2.5999999
United Kingdom,GBR,1990,2.7
United Kingdom,GBR,1991,2.8
United Kingdom,GBR,1992,2.8
United Kingdom,GBR,1993,2.9000001
United Kingdom,GBR,1994,2.7
United Kingdom,GBR,1995,2.9000001
United Kingdom,GBR,1996,3
United Kingdom,GBR,1997,2.8
United Kingdom,GBR,1998,2.7
United Kingdom,GBR,1999,2.7
United Kingdom,GBR,2000,2.5999999
United Kingdom,GBR,2001,2.7
United Kingdom,GBR,2002,2.7
United Kingdom,GBR,2003,2.8
United Kingdom,GBR,2004,2.8
United Kingdom,GBR,2005,2.5999999
United Kingdom,GBR,2006,2.4000001
United Kingdom,GBR,2007,2.3
United Kingdom,GBR,2008,2.2
United Kingdom,GBR,2009,2
United Kingdom,GBR,2010,2.0999999
United Kingdom,GBR,2011,2.0999999
United Kingdom,GBR,2012,2
United Kingdom,GBR,2013,2
United Kingdom,GBR,2014,1.9
United Kingdom,GBR,2015,1.7
United Kingdom,GBR,2016,1.8
United States,USA,1960,2.2
United States,USA,1961,2.3
United States,USA,1962,2.2
United States,USA,1963,2.3
United States,USA,1964,2.4000001
United States,USA,1965,2.5
United States,USA,1966,2.5
United States,USA,1967,2.5999999
United States,USA,1968,2.9000001
United States,USA,1969,3.2
United States,USA,1970,3.5
United States,USA,1971,3.7
United States,USA,1972,4
United States,USA,1973,4.3000002
United States,USA,1974,4.5999999
United States,USA,1975,4.8000002
United States,USA,1976,5
United States,USA,1977,5
United States,USA,1978,5.0999999
United States,USA,1979,5.3000002
United States,USA,1980,5.1999998
United States,USA,1981,5.3000002
United States,USA,1982,5
United States,USA,1983,4.9000001
United States,USA,1984,5
United States,USA,1985,5
United States,USA,1986,4.9000001
United States,USA,1987,4.8000002
United States,USA,1988,4.8000002
United States,USA,1989,4.6999998
United States,USA,1990,4.6999998
United States,USA,1991,4.6999998
United States,USA,1992,4.8000002
United States,USA,1993,4.5999999
United States,USA,1994,4.5999999
United States,USA,1995,4.4000001
United States,USA,1996,4.3000002
United States,USA,1997,4.3000002
United States,USA,1998,4.1999998
United States,USA,1999,4.0999999
United States,USA,2000,4.0999999
United States,USA,2001,4
United States,USA,2002,3.9000001
United States,USA,2003,3.8
United States,USA,2004,3.7
United States,USA,2005,3.5999999
United States,USA,2006,3.7
United States,USA,2007,3.5999999
United States,USA,2008,3.5
United States,USA,2009,3.5
United States,USA,2010,3.5999999
United States,USA,2011,3.5999999
United States,USA,2012,3.4000001
United States,USA,2013,3.3
United States,USA,2014,3.2
United States,USA,2015,3.0999999
United States,USA,2016,3
United States,USA,2017,2.9000001
United States,USA,2018,2.9000001
